COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,BALLOTS CAST - REPUBLICAN,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State Senate District 16,Republican for State Senate District 16,Republican for State House District 61,Republican for State House District 61,Republican for State House District 66,Republican for State House District 66,Republican for State House District 56,Republican for State House District 56,Republican for State House District 48,Republican for State House District 48,Republican for County Recorder,Republican for County Recorder,Republican for County Commission Seat C,Republican for County Commission Seat C,Republican for State School Board District 13,Republican for State School Board District 13,
,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,BALLOTS CAST,BURGESS OWENS,KIM COLEMAN,TRENT CHRISTENSEN,"JAY ""JAYMAC"" MCFARLAND","THOMAS E. WRIGHT, ROB BISHOP","SPENCER J. COX, DEIDRE M. HENDERSON","JON HUNTSMAN JR., MICHELLE KAUFUSI","GREG HUGHES, VICTOR IVERSON",SEAN D. REYES,DAVID O. LEAVITT,CURT BRAMBLE,SYLVIA ANDREW,MARSHA JUDKINS,KENNETH GROVER,JEFFERSON S. BURTON,KARI L. MALKOVICH,MERRILEE BOYACK,KAY J. CHRISTOFFERSON,DAVID R. SHALLENBERGER,KEVEN J. STRATTON,ANDREA ALLEN,BRIAN VOEKS,TOM SAKIEVICH,R NATHAN IVIE,ALYSON WILLIAMS,RANDY BOOTHE,
25,0001,AF01,828,0,0,0,0,70,365,241,148,425,383,0,0,0,0,0,0,0,0,0,0,443,331,445,330,0,0,
25,0002,AF01S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0003,AF02,281,0,0,0,0,19,112,90,60,149,126,0,0,0,0,0,0,139,133,0,0,137,119,147,109,0,0,
25,0004,AF03,472,0,0,0,0,25,236,120,90,237,215,0,0,0,0,0,0,217,241,0,0,242,196,273,172,0,0,
25,0005,AF04,359,0,0,0,0,32,139,102,82,192,155,0,0,0,0,0,0,136,208,0,0,184,150,186,148,0,0,
25,0006,AF05,389,0,0,0,0,20,181,112,73,227,158,0,0,0,0,0,0,167,216,0,0,220,146,207,156,0,0,
25,0007,AF06,606,0,0,0,0,35,284,146,138,350,228,0,0,0,0,0,0,281,296,0,0,303,256,339,214,0,0,
25,0008,AF06S,106,0,0,0,0,1,45,17,43,51,49,0,0,0,0,0,0,56,48,0,0,54,41,81,16,0,0,
25,0009,AF07,644,0,0,0,0,40,308,179,111,356,277,0,0,0,0,0,0,250,379,0,0,335,280,363,250,0,0,
25,0010,AF08,601,0,0,0,0,25,272,170,131,333,246,0,0,0,0,0,0,275,304,0,0,304,255,321,232,0,0,
25,0011,AF09,439,0,0,0,0,39,208,119,70,194,223,0,0,0,0,0,0,172,250,0,0,213,179,185,203,0,0,
25,0012,AF10,688,0,0,0,0,38,329,209,103,381,282,0,0,0,0,0,0,0,0,0,0,353,254,359,254,0,0,
25,0013,AF10S,56,0,0,0,0,3,26,19,8,29,25,0,0,0,0,0,0,0,0,0,0,28,22,20,29,0,0,
25,0014,AF11,347,0,0,0,0,28,161,91,67,188,149,0,0,0,0,0,0,153,181,0,0,172,150,192,130,0,0,
25,0015,AF12,342,0,0,0,0,28,128,110,74,159,177,0,0,0,0,0,0,167,164,0,0,171,147,196,124,0,0,
25,0016,AF13,336,121,112,34,60,31,125,93,86,168,168,0,0,0,0,0,0,194,135,0,0,149,176,223,105,0,0,
25,0017,AF14,30,13,7,4,6,4,10,7,9,18,12,0,0,0,0,0,0,0,0,0,0,19,11,15,15,0,0,
25,0018,AL01,487,0,0,0,0,20,194,173,99,224,249,0,0,0,0,0,0,0,0,0,0,234,208,252,187,0,0,
25,0019,AL02,548,0,0,0,0,27,226,186,104,292,242,0,0,0,0,0,0,0,0,0,0,269,225,329,171,0,0,
25,0020,AL03,606,0,0,0,0,31,249,195,127,283,288,0,0,0,0,0,0,0,0,0,0,271,255,348,181,0,0,
25,0021,AL04,565,0,0,0,0,22,276,166,100,283,266,0,0,0,0,0,0,0,0,0,0,259,252,309,200,0,0,
25,0022,AL05,452,0,0,0,0,11,217,116,107,188,243,0,0,0,0,0,0,0,0,0,0,198,211,284,133,0,0,
25,0023,AL06,482,0,0,0,0,29,197,146,109,250,220,0,0,0,0,0,0,0,0,0,0,202,241,263,184,0,0,
25,0024,CF01,90,44,20,6,15,11,36,24,17,50,40,0,0,0,0,0,0,0,0,0,0,71,19,57,31,0,0,
25,0025,CH01,340,0,0,0,0,11,164,79,84,191,139,0,0,0,0,0,0,0,0,0,0,176,130,186,127,0,0,
25,0026,CH02,530,0,0,0,0,20,307,100,100,313,200,0,0,0,0,0,0,0,0,0,0,290,192,249,235,0,0,
25,0027,CH03,454,0,0,0,0,22,193,129,110,232,196,0,0,0,0,0,0,0,0,0,0,213,197,262,149,0,0,
25,0028,CH04,550,0,0,0,0,29,271,158,91,299,227,0,0,0,0,0,0,0,0,0,0,261,232,282,212,0,0,
25,0029,CH05,523,0,0,0,0,32,238,156,95,306,198,0,0,0,0,0,0,0,0,0,0,270,202,281,195,0,0,
25,0030,DR01,468,0,0,0,0,13,162,199,94,246,195,0,0,0,0,0,0,0,0,0,0,241,166,248,153,0,0,
25,0031,EM01,507,221,112,41,110,40,168,151,143,305,179,0,0,0,0,0,0,0,0,0,0,267,199,335,135,0,0,
25,0032,EM02,556,226,141,51,116,53,203,144,152,308,238,0,0,0,0,0,0,0,0,0,0,268,254,340,178,0,0,
25,0033,EM03,589,265,124,49,139,64,197,170,158,340,235,0,0,0,0,0,0,0,0,0,0,289,263,373,170,0,0,
25,0034,EM04,434,166,129,44,82,35,151,105,143,242,180,0,0,0,0,0,0,0,0,0,0,209,203,294,111,0,0,
25,0035,EM05,443,200,115,36,71,34,152,144,109,257,167,0,0,0,0,0,0,0,0,0,0,235,176,292,118,0,0,
25,0036,EM06,577,223,144,68,112,50,227,152,144,314,244,0,0,0,0,0,0,0,0,0,0,285,238,362,165,0,0,
25,0037,EM07,578,272,131,59,86,39,181,149,205,344,211,0,0,0,0,0,0,0,0,0,0,282,238,315,207,0,0,
25,0038,EM08,655,260,154,77,142,48,224,199,179,381,258,0,0,0,0,0,0,0,0,0,0,293,322,405,199,0,0,
25,0039,EM09,68,25,17,7,19,12,18,15,22,30,37,0,0,0,0,0,0,0,0,0,0,31,35,44,20,0,0,
25,0040,ER01,667,0,0,0,0,46,331,128,162,351,284,0,0,0,0,0,0,0,0,0,0,329,279,352,253,0,0,
25,0041,ER01S,17,0,0,0,0,0,5,8,4,10,7,0,0,0,0,12,5,0,0,0,0,11,6,5,12,0,0,
25,0042,ER02,336,0,0,0,0,32,158,77,69,176,147,0,0,0,0,0,0,0,0,0,0,154,155,204,109,0,0,
25,0043,FF01,37,15,4,10,6,6,11,13,7,20,16,0,0,0,0,0,0,0,0,0,0,29,6,20,15,0,0,
25,0044,GE01,321,143,88,31,48,31,158,47,84,147,165,0,0,0,0,0,0,0,0,0,0,169,119,177,114,0,0,
25,0045,GO01,49,26,5,7,11,2,16,12,19,36,12,0,0,0,0,0,0,0,0,0,0,32,14,24,23,0,0,
25,0046,GO02,66,30,22,2,12,7,23,15,21,33,33,0,0,0,0,0,0,0,0,0,0,40,23,36,26,0,0,
25,0047,HI01,517,0,0,0,0,31,251,158,77,267,231,0,0,0,0,0,0,0,0,0,0,258,213,287,178,0,0,
25,0048,HI02,532,0,0,0,0,32,223,175,100,298,221,0,0,0,0,0,0,0,0,0,0,246,249,341,152,0,0,
25,0049,HI03,458,0,0,0,0,32,249,96,80,235,211,0,0,0,0,0,0,0,0,0,0,231,174,256,155,0,0,
25,0050,HI04,489,0,0,0,0,32,232,115,107,240,225,0,0,0,0,0,0,0,0,0,0,223,211,299,134,0,0,
25,0051,HI05,519,0,0,0,0,24,242,139,114,255,242,0,0,0,0,0,0,0,0,0,0,237,225,309,157,0,0,
