Summary Results Report,,,,,,,,,OFFICIAL RESULTS
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,,,,CACHE COUNTY
AMA,,,,,,,,,
STATISTICS,,,,,,,,,
,TOTAL,Mail,Provisional,,,,,,
Registered Voters,261,,,,,,,,
Ballots Cast,189,171,18,,,,,,
Voter Turnout,72.41%,,,,,,,,
STRAIGHT PARTY,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
CONSTITUTION,0,0.00%,0,0,,,,,
DEMOCRATIC,7,13.21%,6,1,,,,,
GREEN,0,0.00%,0,0,,,,,
INDEPENDENT AMERICAN,8,15.09%,6,2,,,,,
LIBERTARIAN,0,0.00%,0,0,,,,,
REPUBLICAN,38,71.70%,31,7,,,,,
UNITED UTAH,0,0.00%,0,0,,,,,
Total Votes Cast,53,100.00%,43,10,,,,,
Contest Totals,189,,171,18,,,,,
U.S. SENATE,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
TIM AALDERS (CON),11,5.95%,11,0,,,,,
CRAIG R. BOWDEN (LIB),1,0.54%,0,1,,,,,
REED C. MCCANDLESS (IAP),3,1.62%,1,2,,,,,
JENNY WILSON (DEM),19,10.27%,19,0,,,,,
MITT ROMNEY (REP),151,81.62%,137,14,,,,,
WRITE-IN,0,0.00%,0,0,,,,,
Total Votes Cast,185,100.00%,168,17,,,,,
Contest Totals,189,,171,18,,,,,
Summary Results Report,,,,,,OFFICIAL RESULTS,,,
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,CACHE COUNTY,,,
AMA,,,,,,,,,
U.S. REPRESENTATIVE DISTRICT #1,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
LEE CASTILLO (DEM),15,8.20%,14,1,,,,,
ROB BISHOP (REP),149,81.42%,133,16,,,,,
ERIC ELIASON (UUP),17,9.29%,17,0,,,,,
