U.S. REPRESENTATIVE DISTRICT #3,,,,,,,,,,,,,,,,,,
,,JOHN CURTIS (REP),,,,JAMES COURAGE SINGER (DEM),,,,TIMOTHY L. ZEIDNER,,,,GREGORY  C. DUERDEN,,,,
,Registered Voters,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Vote Center,VBM,Early Voting,Total Votes,Total
ALT001,155,2,22,0,24,4,90,3,97,1,1,0,2,0,2,0,2,125
BRT901,273,3,43,1,47,4,177,4,185,0,4,0,4,2,1,0,3,239
BRT902,3,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,3
CCN001,3,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,3
COT001,1007,30,298,4,332,41,400,20,461,3,24,0,27,1,9,1,11,831
COT003,593,21,170,4,195,12,233,5,250,0,14,0,14,0,8,0,8,467
COT004,934,17,273,5,295,44,347,14,405,2,22,0,24,4,16,2,22,746
COT007,346,8,100,2,110,11,143,2,156,0,13,0,13,0,1,0,1,280
COT008,605,19,221,1,241,26,208,4,238,1,10,0,11,2,4,0,6,496
COT009,574,16,211,1,228,18,190,0,208,0,15,0,15,0,6,0,6,457
COT011,774,11,304,3,318,19,310,2,331,2,11,0,13,0,10,0,10,672
COT012,900,23,284,2,309,58,287,9,354,3,28,0,31,2,10,0,12,706
COT013,713,7,257,3,267,17,236,5,258,1,33,0,34,3,7,0,10,569
COT014,377,9,134,2,145,13,145,5,163,1,7,0,8,0,5,0,5,321
COT015,541,18,227,2,247,18,162,4,184,0,10,0,10,1,8,0,9,450
COT016,694,15,247,1,263,19,254,8,281,1,29,0,30,0,5,1,6,580
COT017,556,12,203,3,218,19,182,3,204,0,9,0,9,2,9,1,12,443
COT018,597,9,177,3,189,16,250,1,267,1,20,0,21,1,5,0,6,483
COT019,566,18,173,1,192,11,264,11,286,2,11,0,13,1,1,1,3,494
COT020,671,13,213,4,230,23,265,2,290,1,18,1,20,2,14,0,16,556
COT021,671,11,201,6,218,20,270,5,295,1,18,0,19,3,12,0,15,547
COT022,745,20,261,0,281,23,284,8,315,1,22,0,23,0,6,0,6,625
COT023,669,11,202,1,214,26,320,3,349,0,15,1,16,1,6,0,7,586
COT024,556,8,175,0,183,24,255,5,284,3,15,0,18,2,3,0,5,490
COT025,547,3,159,3,165,19,259,4,282,1,9,0,10,0,6,0,6,463
COT026,517,13,154,4,171,18,214,10,242,1,12,0,13,1,3,0,4,430
COT027,602,14,267,4,285,21,155,4,180,0,12,0,12,1,7,1,9,486
COT028,490,18,275,0,293,5,92,4,101,0,2,0,2,1,1,0,2,398
COT029,667,26,172,3,201,55,259,9,323,1,10,0,11,4,4,0,8,543
COT030,470,22,192,5,219,5,118,1,124,0,12,0,12,1,3,0,4,359
COT031,430,8,165,3,176,9,146,0,155,0,12,0,12,0,4,0,4,347
COT033,757,27,237,7,271,27,305,11,343,3,14,2,19,2,5,0,7,640
COT034,895,18,353,5,376,17,342,4,363,3,12,0,15,0,8,0,8,762
COT036,821,14,246,4,264,21,377,7,405,2,21,0,23,1,5,0,6,698
COT037,542,14,179,1,194,15,246,5,266,0,9,0,9,0,4,0,4,473
COT038,42,0,23,0,23,2,12,0,14,0,0,0,0,0,0,0,0,37
COT039,92,2,33,0,35,0,29,0,29,0,7,0,7,0,0,0,0,71
DRP003,1237,50,468,5,523,47,301,14,362,2,22,0,24,4,18,0,22,931
DRP004,1148,52,484,5,541,34,285,8,327,2,20,1,23,1,7,0,8,899
DRP006,714,19,296,4,319,20,194,9,223,1,5,0,6,0,8,0,8,556
DRP008,410,16,240,2,258,5,58,2,65,0,4,0,4,0,8,1,9,336
DRP009,1082,65,384,7,456,46,244,11,301,4,10,0,14,10,14,2,26,797
DRP010,1065,56,469,2,527,39,227,8,274,2,16,0,18,8,9,1,18,837
DRP011,1121,55,597,4,656,21,151,3,175,1,16,1,18,1,6,0,7,856
DRP013,1103,50,574,4,628,14,200,5,219,0,12,0,12,1,12,0,13,872
DRP015,1164,48,627,12,687,23,185,5,213,3,16,1,20,5,13,1,19,939
DRP017,1058,47,619,8,674,18,136,2,156,0,15,0,15,1,9,0,10,855
DRP019,1089,59,567,4,630,22,190,5,217,0,9,0,9,2,13,0,15,871
DRP020,964,40,534,8,582,19,141,6,166,2,11,0,13,0,7,0,7,768
DRP024,1107,59,529,7,595,37,194,14,245,3,16,0,19,2,14,1,17,876
DRP025,1024,66,355,8,429,30,286,9,325,2,16,0,18,2,7,0,9,781
DRP027,1301,82,438,13,533,77,303,16,396,4,24,0,28,6,15,1,22,979
DRP028,1008,68,365,6,439,33,227,7,267,1,11,0,12,4,13,0,17,735
DRP029,1060,56,494,14,564,43,215,6,264,0,10,0,10,2,3,0,5,843
DRP030,758,49,276,10,335,29,193,3,225,0,10,0,10,0,6,0,6,576
DRP031,1142,60,536,10,606,41,176,3,220,1,17,1,19,10,10,0,20,865
DRP032,167,11,54,1,66,4,36,3,43,0,2,0,2,0,4,0,4,115
GNT001,156,6,60,1,67,4,50,2,56,0,2,0,2,0,2,0,2,127
GNT004,283,5,126,0,131,12,89,1,102,0,2,0,2,0,2,0,2,237
GNT006,244,5,136,3,144,5,57,0,62,0,1,0,1,0,2,0,2,209
HOL001,826,27,319,5,351,17,300,6,323,0,8,1,9,2,8,0,10,693
HOL003,646,27,268,3,298,12,209,5,226,1,13,0,14,4,8,0,12,550
HOL004,464,11,215,2,228,8,144,5,157,0,8,0,8,1,6,0,7,400
HOL005,616,25,204,0,229,21,212,6,239,1,10,1,12,1,10,0,11,491
HOL006,772,27,357,2,386,18,213,6,237,1,12,1,14,3,7,0,10,647
HOL007,637,26,307,2,335,10,187,9,206,0,12,1,13,1,7,0,8,562
HOL008,653,26,251,6,283,26,217,9,252,1,3,0,4,4,8,0,12,551
HOL009,425,18,162,4,184,16,144,2,162,2,11,0,13,0,8,0,8,367
HOL010,699,28,277,5,310,28,239,9,276,3,10,0,13,1,9,0,10,609
HOL011,826,33,361,3,397,17,249,11,277,2,11,0,13,2,6,2,10,697
HOL012,598,19,213,4,236,28,232,13,273,0,6,0,6,0,6,0,6,521
HOL013,998,29,225,3,257,64,467,14,545,4,16,0,20,10,10,0,20,842
HOL015,601,17,163,1,181,23,297,1,321,0,8,0,8,1,5,0,6,516
HOL016,800,18,184,1,203,52,383,12,447,4,8,0,12,4,21,0,25,687
HOL017,290,4,109,1,114,10,110,2,122,1,6,0,7,0,2,0,2,245
HOL018,797,19,286,3,308,21,310,6,337,1,18,0,19,2,9,2,13,677
HOL019,959,40,431,2,473,46,247,8,301,0,11,0,11,4,15,1,20,805
HOL021,765,29,337,5,371,26,238,13,277,1,9,0,10,1,8,0,9,667
HOL022,424,8,131,1,140,13,185,3,201,3,5,0,8,2,4,0,6,355
HOL023,582,27,281,0,308,11,143,3,157,2,11,0,13,1,3,1,5,483
HOL024,800,26,326,8,360,27,281,2,310,3,12,0,15,0,8,0,8,693
HOL025,373,9,163,4,176,9,130,2,141,0,7,0,7,0,2,0,2,326
HOL026,485,17,238,5,260,9,119,1,129,0,4,0,4,1,4,1,6,399
HOL027,87,4,28,2,34,5,33,0,38,1,0,0,1,1,1,0,2,75
HOL028,965,36,373,8,417,17,302,17,336,0,18,1,19,6,12,0,18,790
HOL030,414,4,126,2,132,19,186,8,213,2,4,0,6,0,1,0,1,352
HOL031,354,13,123,0,136,10,149,1,160,1,4,0,5,1,3,0,4,305
LTC001,33,0,9,1,10,1,14,0,15,0,0,0,0,0,0,0,0,25
LTC003,38,0,15,1,16,1,21,1,23,0,0,0,0,0,0,0,0,39
MID009,183,6,40,2,48,6,54,1,61,0,7,0,7,2,4,0,6,122
MID010,667,19,116,2,137,48,269,15,332,5,11,2,18,1,17,0,18,505
MID014,13,0,4,0,4,0,5,1,6,0,0,0,0,0,1,0,1,11
MID015,772,25,238,1,264,46,230,3,279,0,22,1,23,4,11,1,16,582
MID016,572,23,168,0,191,41,184,1,226,2,8,0,10,0,3,1,4,431
MID029,459,5,141,1,147,11,201,11,223,0,3,0,3,1,7,0,8,381
MIL044,486,13,138,4,155,8,251,3,262,0,6,0,6,0,1,0,1,424
MOL009,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
SAN010,223,8,91,0,99,2,80,0,82,0,7,0,7,0,0,0,0,188
SAN011,930,31,362,0,393,35,302,5,342,0,18,0,18,2,11,0,13,766
SAN012,706,20,274,3,297,14,220,3,237,0,8,0,8,1,7,0,8,550
SAN013,650,23,220,0,243,30,216,5,251,4,12,0,16,4,7,0,11,521
SAN014,653,24,232,3,259,22,223,4,249,0,19,1,20,4,14,0,18,546
SAN015,758,19,281,4,304,25,210,8,243,0,16,0,16,4,17,0,21,584
SAN018,805,26,295,6,327,37,212,5,254,2,10,1,13,3,11,0,14,608
SAN019,501,27,207,3,237,15,151,0,166,0,8,0,8,0,7,0,7,418
SAN020,169,4,65,1,70,5,48,1,54,1,4,0,5,1,3,0,4,133
SAN021,395,11,164,4,179,8,124,5,137,1,3,0,4,2,7,0,9,329
