U.S. PRESIDENT																			
																			
	Reg. Voters	Times	Total Votes	BARACK OBAMA		JOHN McCAIN (REP)		BOB BARR (LIB)		CHUCK BALDWIN		RALPH NADER		GLORIA LA		CYNTHIA		Write-In Votes	
		Counted		(DEM)						(CON)			RIVA			McKINNEY			
Jurisdiction Wide																			
Beaver 1																			
Polling	890	356	352	40	11.36%	307	87.22%	1	0.28%	1	0.28%	2	0.57%	0	0.00%	0	0.00%	1	0.28%
Early	890	188	181	48	26.52%	131	72.38%	0	0.00%	1	0.55%	1	0.55%	0	0.00%	0	0.00%	0	0.00%
Absentee	890	48	46	14	30.43%	32	69.57%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	890	14	14	0	0.00%	14	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	890	606	593	102	17.20%	484	81.62%	1	0.17%	2	0.34%	3	0.51%	0	0.00%	0	0.00%	1	0.17%
Beaver 2																			
Polling	836	276	275	30	10.91%	234	85.09%	3	1.09%	4	1.45%	2	0.73%	0	0.00%	0	0.00%	2	0.73%
Early	836	155	150	32	21.33%	116	77.33%	0	0.00%	0	0.00%	1	0.67%	0	0.00%	1	0.67%	0	0.00%
Absentee	836	15	14	3	21.43%	11	78.57%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	836	7	7	2	28.57%	5	71.43%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	836	453	446	67	15.02%	366	82.06%	3	0.67%	4	0.90%	3	0.67%	0	0.00%	1	0.22%	2	0.45%
Beaver 3																			
Polling	727	255	251	34	13.55%	213	84.86%	0	0.00%	1	0.40%	2	0.80%	0	0.00%	0	0.00%	1	0.40%
Early	727	173	166	39	23.49%	117	70.48%	2	1.20%	5	3.01%	2	1.20%	0	0.00%	0	0.00%	1	0.60%
Absentee	727	20	19	2	10.53%	17	89.47%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	727	16	15	2	13.33%	13	86.67%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	727	464	451	77	17.07%	360	79.82%	2	0.44%	6	1.33%	4	0.89%	0	0.00%	0	0.00%	2	0.44%
Greenville																			
Polling	141	65	64	9	14.06%	51	79.69%	0	0.00%	2	3.13%	2	3.13%	0	0.00%	0	0.00%	0	0.00%
Early	141	20	20	10	50.00%	10	50.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Absentee	141	12	12	2	16.67%	10	83.33%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	141	2	2	0	0.00%	2	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	141	99	98	21	21.43%	73	74.49%	0	0.00%	2	2.04%	2	2.04%	0	0.00%	0	0.00%	0	0.00%
Milford 1																			
Polling	314	127	124	45	36.29%	72	58.06%	1	0.81%	3	2.42%	2	1.61%	0	0.00%	0	0.00%	1	0.81%
Early	314	53	53	24	45.28%	28	52.83%	0	0.00%	1	1.89%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Absentee	314	0	0	0		0		0		0		0		0		0		0	
Provisional	314	1	1	1	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	314	181	178	70	39.33%	100	56.18%	1	0.56%	4	2.25%	2	1.12%	0	0.00%	0	0.00%	1	0.56%
Milford 2																			
Polling	756	273	269	78	29.00%	180	66.91%	3	1.12%	3	1.12%	5	1.86%	0	0.00%	0	0.00%	0	0.00%
Early	756	106	105	65	61.90%	35	33.33%	1	0.95%	1	0.95%	2	1.90%	0	0.00%	1	0.95%	0	0.00%
Absentee	756	8	8	6	75.00%	2	25.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	756	2	2	0	0.00%	2	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	756	389	384	149	38.80%	219	57.03%	4	1.04%	4	1.04%	7	1.82%	0	0.00%	1	0.26%	0	0.00%
Minersville																			
Polling	596	320	317	41	12.93%	264	83.28%	1	0.32%	8	2.52%	0	0.00%	0	0.00%	0	0.00%	3	0.95%
Early	596	44	44	15	34.09%	29	65.91%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Absentee	596	3	3	0	0.00%	3	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	596	4	4	0	0.00%	4	100.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	596	371	368	56	15.22%	300	81.52%	1	0.27%	8	2.17%	0	0.00%	0	0.00%	0	0.00%	3	0.82%
																			
Total																			
Polling	4260	1672	1652	277	16.77%	1321	79.96%	9	0.54%	22	1.33%	15	0.91%	0	0.00%	0	0.00%	8	0.48%
Early	4260	739	719	233	32.41%	466	64.81%	3	0.42%	8	1.11%	6	0.83%	0	0.00%	2	0.28%	1	0.14%
Absentee	4260	106	102	27	26.47%	75	73.53%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Provisional	4260	46	45	5	11.11%	40	88.89%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Total	4260	2563	2518	542	21.53%	1902	75.54%	12	0.48%	30	1.19%	21	0.83%	0	0.00%	2	0.08%	9	0.36%
